cat2_slug,cat3_slug,city_slug,neighborhood_slug,created_at_month,user_type,description,title,rent_mode,rent_value,rent_to_single,rent_type,price_mode,price_value,credit_mode,credit_value,rent_credit_transform,transformable_price,transformable_credit,transformed_credit,transformable_rent,transformed_rent,land_size,building_size,deed_type,has_business_deed,floor,rooms_count,total_floors_count,unit_per_floor,has_balcony,has_elevator,has_warehouse,has_parking,construction_year,is_rebuilt,has_water,has_warm_water_provider,has_electricity,has_gas,has_heating_system,has_cooling_system,has_restroom,has_security_guard,has_barbecue,building_direction,has_pool,has_jacuzzi,has_sauna,floor_material,property_type,regular_person_capacity,extra_person_capacity,cost_per_extra_person,rent_price_on_regular_days,rent_price_on_special_days,rent_price_at_weekends,location_latitude,location_longitude,location_radius
temporary-rent,villa,karaj,mehrshahr,8/1/2024 0:00,مشاور املاک,"۵۰۰متر
۲۰۰متر بنا دوبلکس
۳خواب
استخر آبگرم داخل
سیستم صوتی حرفه ای
سرگرمی ایرهاکی
برای اطلاعات بیشتر تماس حاصل فرماید",باغ ویلا اجاره روزانه استخر داخل لشکرآباد سهیلیه,,,,,,,,,,,,,,,,500,,,,سه,,,,,,,,,,,,,,,,,,,,,,,,4,6,350000,1500000,3500000000,3500000,35.81168365,50.93659973,500
residential-sell,apartment-sell,tehran,gholhak,5/1/2024 0:00,مشاور املاک,"دسترسی عالی به مترو و شریعتی 
مشاعات تمیز 
بدون ایراد 
آخرین بازدید 
فروشنده واقعی
شایان",۶۰ متر قلهک فول امکانات,,,,,مقطوع,8500000000,,,,,,,,,,60,,,3,یک,,,,TRUE,TRUE,TRUE,۱۳۸۴,,,,,,,,,,,,,,,,,,,,,,,,,500
residential-rent,apartment-rent,tehran,tohid,10/1/2024 0:00,,تخلیه پایان ماه,آپارتمان ۳ خوابه ۱۳۲ متر,مقطوع,26000000,,,,,مقطوع,750000000,FALSE,FALSE,750000000,,26000000,,,132,,,3,سه,,,,TRUE,TRUE,TRUE,۱۴۰۱,FALSE,,,,,,,,,,,,,,,,,,,,,,35.70386505,51.37345886,
commercial-rent,office-rent,tehran,elahiyeh,6/1/2024 0:00,,"فرشته تاپ لوکیشن
۹۰ متر موقعیت اداری
یک اتاق مستر
دید و وییو مشجر
روبه باغ
نور و نقشه عالی
لابی و لابی من و سرایدار مقیم
لوکس و شیک
مدرن
همه مشاغل
بازدید = با قرار داد
فایل کاملا شخصی
کلید نزد املاک است
مجید پارسا",فرشته ۹۰ متر دفتر کار مدرن موقعیت اداری,مقطوع,95000000,,,,,مقطوع,950000000,FALSE,FALSE,950000000,,95000000,,,90,,,4,یک,,,,TRUE,FALSE,TRUE,۱۴۰۰,,,,,,,,,,,,,,,,,,,,,,,,,
residential-sell,apartment-sell,mashhad,emamreza,5/1/2024 0:00,مشاور املاک,"هلدینگ ساختمانی اکبری

همراه شما هستیم برای خریدی مطمئن

کلید موجود اولین بازدید ۱۰۰ در ۱۰۰ پسند

مشخصات ملک:
✨صفر کلید نخورده

✨مشاعات تمام سنگ

✨واحد رو به آفتاب

✨پذیرایی سرتاسر پنجره

✨اتاق ها هر دو‌ نورگیر همرا به تراس رویایی

✨آشپزخانه تمام چوب با نقشه عالی
——————————————————

✨با ارائه مشاوره تخصصی املاک در خدمت شما هستیم 
مشاور شما : ایرانی
( ۲۴ ساعته پاسخگوی شما عزیزان هستم)✨

⁉️برای دریافت اطلاعات بیشتر ،نحوه پرداخت و بازدید☎️ تماس حاصل فرمایید",۱۱۵ متری/شمالی رو به آفتاب/اکبری,,,,,مقطوع,5750000000,,,,,,,,,,115,single_page,,4,دو,6,,TRUE,TRUE,TRUE,TRUE,۱۴۰۳,,,package,,,shoofaj,air_conditioner,squat_seat,,,north,,,,ceramic,,,,,,,,,,
residential-rent,apartment-rent,ahvaz,mellirah,9/1/2024 0:00,,اپارتمان ۱۰۰متری واحد جلو دارای دو اتاق خواب کمددیواری کابینت ام دی اف ابگرمن دیواری هود صفحه‌ای کف کامل موکت پارکینگ اختصاصی دارای دو تراس یکی در حال یکی در اتاق خواب دارای لوکیشن خوب واقع در ملی را خیابون مستفی بین فرشید یک و دو,اپارتمان ۱۰۰متری ملی راه واحد جلو,مقطوع,6000000,,,,,مقطوع,250000000,FALSE,TRUE,250000000,400000000,6000000,1,,100,,,3,دو,3,2,TRUE,FALSE,TRUE,TRUE,۱۳۸۹,FALSE,,water_heater,,,,,squat,,,,,,,carpet,,,,,,,,,,
commercial-rent,office-rent,kermanshah,,11/1/2024 0:00,,"♦مشاورین املاک سیب♦
✅️کد:G۱۰۵
♦با سالها سابقه درخشان در منطقه
♦همراه و پا به پای شما در انجام کلیه امور ملکی

___ ✅️واحد اداری ۸۰متری مناسب تمام مشاغل 
✅تخلیه 
❌️❌️۲لاین آسانسور❌️❌️
________________
✅️داخل تمیز و مرتب
✅️آبدارخانه
✅️کف سرامیک
✅️کولر گازی

[ فایلهای مشابه و شخصی....متناسب با بودجه و سلیقه شما موجود میباشد ] 

✅جامع ترین فایلینگ منطقه باب سلیقه شما✅
___
آدرس دفتر:
۲۲بهمن،خیابان برق،میدان گلایول به سمت ۱۷ شهریور،بین کوی ۲۰ و ۲۲،مشاور املاک سیب",واحداداری ۸۰متری ۲۲بهمن(برق),مقطوع,16000000,,,,,مقطوع,150000000,FALSE,FALSE,150000000,,16000000,,,80,,,2,دو,,,,TRUE,FALSE,FALSE,۱۳۹۵,,,,,,,,,,,,,,,,,,,,,,,,,
residential-sell,apartment-sell,tehran,dardasht,9/1/2024 0:00,مشاور املاک,"♡♡♡♡♡♡بنام خدا♡♡♡♡♡♡
♡♡♡عرض ادب واحترام♡♡♡
♡♡♡♡املاک بزرگ اریو♡♡♡♡
باافتخارازابتداتا انتهادرکنارشما
سروران عزیزوگرامی
کارشناس مشاور منطقه دهقان
اپارتمان ۱۰۰متری
۴طبقه تک واحدی
طبقه ۳و۴ فروش
فول امکانات
لوکیشن موقعیت عالی
دسترسی عالی به مترو بی ارتی وبازار روز مرکزی وفروشگاه
فروشنده صددرصد
برای اطلاعات بیشتر تماس بگیرید
       املاک اریو",اپارتمان ۱۰۰متری طبقه۳و۴ فول دردشت شمالی,,,,,مقطوع,8700000000,,,,,,,,,,100,,,4,دو,,,,TRUE,TRUE,TRUE,۱۳۹۳,,,,,,,,,,,,,,,,,,,,,,,35.7298317,51.50546646,500
residential-sell,apartment-sell,mahdasht-city,,6/1/2024 0:00,مشاور املاک,"با سلام

املاک بزرگ اتحاد با ۲شعبه فعال با فایلینگ قوی در منطقه...
بهترین آپارتمان های مناسب و به قیمت منطقه را از ما بخواهید...
 
⭕️حس خوب خرید ملک را با ما تجربه کنید⭕️

(واحدها واقع در ماهدشت می باشد)

✅️ ۷۸متر
✅️روبه نما غرق نور 
✅️پارکینگ اختصاصی 
✅️آسانسور،انباری
✅️سازه مهندسی برند منطقه 
✅️سند تک برگ
✅️لوکیشن تا مرکز خرید و تاکسی ۲دقیقه

شرایط پرداخت⁉️
نقدینگی اولیه شما مبلغ آگهی میباشد+۶۴۰ میلیون وام خرید مسکن+۳۰۰ میلیون رهن مستاجر=قیمت کل❗️❗️❗️
❌️مبلغ ذکر شده نقدینگی شماست،رهن و وام از مبلغ کل کسر شده❌️

مشاور و کارشناس امور ملکی شما:حسین کریمی",۷۸متری دوبحرنورگیر بازسازی شده شیک سندتک برگ,,,,,مقطوع,650000000,,,,,,,,,,78,single_page,,4,دو,6,4,TRUE,TRUE,TRUE,TRUE,۱۳۹۶,TRUE,,package,,,shoofaj,water_cooler,squat,,,north,,,,ceramic,,,,,,,,35.7123642,50.79478073,500
residential-sell,apartment-sell,mashhad,faramarzabbasi,10/1/2024 0:00,,اول رسالت فرد  نزدیک به حاشیه فرامرز .. ساکنین مالک ..مشاعات تا سقف سرامیک ..ساختمان عالی اروم برای سکونت .. نقشه اتوبوسی دو طرف غرق نور معاوضه ندارم ..,متراژ ۸۰ متر فرامرز نزدیک حاشیه,,,,,مقطوع,3000000000,,,,,,,,,,80,,,3,دو,,,TRUE,FALSE,FALSE,TRUE,۱۳۸۷,FALSE,,,,,,,squat,,,,,,,ceramic,,,,,,,,,,
